,Company (1),Business Description,Investment,Interest (3)(7),Acquisition Date,Amortized Cost,Fair Value
277,"CVP Holdco, Inc. and OMERS Wildcats Investment Holdings LLC (16)",Veterinary hospital operator,"Common stock (32,429 shares)",0,10/31/2019,10.0,16.6
279,"GHX Ultimate Parent Corporation, Commerce Parent, Inc. and Commerce Topco, LLC (16)",On-demand supply chain automation solutions provider to the healthcare industry,Second lien senior secured loan ($114 par due 05/2029),7.76% (LIBOR + 6.75%/Q),5/26/2021,114.0,114.0
281,"GHX Ultimate Parent Corporation, Commerce Parent, Inc. and Commerce Topco, LLC (16)",On-demand supply chain automation solutions provider to the healthcare industry,"Class A units (14,853,569 units)",0,6/30/2017,15.7,34.8
283,"Global Medical Response, Inc. and GMR Buyer Corp.",Emergency air medical services provider,Second lien senior secured loan ($95.4 par due 12/2029),7.50% (LIBOR + 6.75%/M),12/17/2021,95.4,94.5
284,"Global Medical Response, Inc. and GMR Buyer Corp.",Emergency air medical services provider,"Warrant to purchase up to 115,733 units of common stock (expires 3/2028)",0,3/14/2018,0.9,2.9
285,"Global Medical Response, Inc. and GMR Buyer Corp.",Emergency air medical services provider,"Warrant to purchase up to 1,926.57 units of common stock (expires 12/2031)",0,12/17/2021,0.1,0.0
287,"HealthEdge Software, Inc. (16)","Provider of financial, administrative and clinical software platforms to the healthcare industry",First lien senior secured revolving loan,0,12/16/2021,0.0,0.0
288,"HealthEdge Software, Inc. (16)","Provider of financial, administrative and clinical software platforms to the healthcare industry",First lien senior secured loan ($80.9 par due 04/2026),8.00% (LIBOR + 7.00%/Q),12/16/2021,80.9,80.9
290,"Honor Technology, Inc.",Nursing and home care provider,First lien senior secured loan ($2.5 par due 08/2026),11.00% (LIBOR + 10.00%/M),8/6/2021,2.4,2.5
291,"Honor Technology, Inc.",Nursing and home care provider,"Warrant to purchase up to 133,333 shares of series D-2 preferred stock (expires 8/2031)",0,8/6/2021,0.1,0.1
293,"JDC Healthcare Management, LLC (16)",Dental services provider,First lien senior secured revolving loan ($4.4 par due 04/2024),0,4/10/2017,3.7,2.9
294,"JDC Healthcare Management, LLC (16)",Dental services provider,First lien senior secured loan ($37.3 par due 04/2024),0,4/10/2017,31.4,25.0
296,"KBHS Acquisition, LLC (d/b/a Alita Care, LLC) (16)",Provider of behavioral health services,First lien senior secured revolving loan ($0.5 par due 03/2024),"6.00% (LIBOR + 4.00% Cash, 1.00% PIK/M)",3/17/2017,0.5,0.5
297,"Napa Management Services Corporation and ASP NAPA Holdings, LLC",Anesthesia management services provider,"Preferred units (1,842 units)",15.00% PIK,6/29/2020,0.1,0.1
298,"Napa Management Services Corporation and ASP NAPA Holdings, LLC",Anesthesia management services provider,"Senior preferred units (5,320 units)",8.00% PIK,6/29/2020,0.3,0.3
299,"Napa Management Services Corporation and ASP NAPA Holdings, LLC",Anesthesia management services provider,"Class A units (25,277 units)",0,4/19/2016,2.5,4.8
301,NMN Holdings III Corp. and NMN Holdings LP (16),Provider of complex rehabilitation technology solutions for patients with mobility loss,First lien senior secured revolving loan,0,11/13/2018,0.0,0.0
302,NMN Holdings III Corp. and NMN Holdings LP (16),Provider of complex rehabilitation technology solutions for patients with mobility loss,"Partnership units (30,000 units)",0,11/13/2018,3.0,2.5
304,"NueHealth Performance, LLC (16)","Developer, builder and manager of specialty surgical hospitals and ambulatory surgery centers",First lien senior secured revolving loan ($3.3 par due 09/2023),9.00% (LIBOR + 8.00%/M),9/27/2018,3.3,3.3
305,"NueHealth Performance, LLC (16)","Developer, builder and manager of specialty surgical hospitals and ambulatory surgery centers",First lien senior secured loan ($12.4 par due 09/2023),9.00% (LIBOR + 8.00%/M),9/27/2018,12.4,12.4
306,"NueHealth Performance, LLC (16)","Developer, builder and manager of specialty surgical hospitals and ambulatory surgery centers",First lien senior secured loan ($3.0 par due 09/2023),9.00% (LIBOR + 8.00%/M),2/1/2020,3.0,3.0
308,"Olympia Acquisition, Inc., Olympia TopCo, L.P., and Asclepius Holdings LLC (5)(16)",Behavioral health and special education platform provider,First lien senior secured loan ($2.6 par due 02/2027),10.00% PIK (SOFR + 9.00%/M),2/28/2022,2.6,2.6
309,"Olympia Acquisition, Inc., Olympia TopCo, L.P., and Asclepius Holdings LLC (5)(16)",Behavioral health and special education platform provider,First lien senior secured loan ($46.7 par due 02/2027),10.00% PIK (SOFR + 9.00%/M),9/24/2019,46.7,46.7
310,"Olympia Acquisition, Inc., Olympia TopCo, L.P., and Asclepius Holdings LLC (5)(16)",Behavioral health and special education platform provider,"Preferred units (417,189)",15.00% PIK,7/28/2021,0.3,0.0
311,"Olympia Acquisition, Inc., Olympia TopCo, L.P., and Asclepius Holdings LLC (5)(16)",Behavioral health and special education platform provider,"Preferred stock (7,983 shares)",0,2/28/2022,3.1,3.1
313,"Olympia Acquisition, Inc., Olympia TopCo, L.P., and Asclepius Holdings LLC (5)(16)",Behavioral health and special education platform provider,"Class A common units (9,549,000 units)",0,9/24/2019,9.5,0.0
314,"Olympia Acquisition, Inc., Olympia TopCo, L.P., and Asclepius Holdings LLC (5)(16)",Behavioral health and special education platform provider,"Common units (7,584 units)",0,2/28/2022,0.0,0.0
316,"OMH-HealthEdge Holdings, LLC",Revenue cycle management provider to the healthcare industry,First lien senior secured loan ($26.1 par due 10/2025),7.50% (LIBOR + 6.00%/S),10/24/2019,26.1,26.1
317,"OMH-HealthEdge Holdings, LLC",Revenue cycle management provider to the healthcare industry,First lien senior secured loan ($7.4 par due 10/2025),7.50% (LIBOR + 6.00%/S),3/8/2022,7.4,7.4
318,"OMH-HealthEdge Holdings, LLC",Revenue cycle management provider to the healthcare industry,First lien senior secured loan ($15.4 par due 10/2025),7.50% (LIBOR + 6.00%/S),3/10/2021,15.4,15.4
320,Pathway Vet Alliance LLC and Jedi Group Holdings LLC (16),Veterinary hospital operator,First lien senior secured revolving loan,0,3/31/2020,0.0,0.0
321,Pathway Vet Alliance LLC and Jedi Group Holdings LLC (16),Veterinary hospital operator,Second lien senior secured loan ($76.3 par due 03/2028),8.75% (LIBOR + 7.75%/M),3/31/2020,76.3,76.3
322,Pathway Vet Alliance LLC and Jedi Group Holdings LLC (16),Veterinary hospital operator,"Class R common units (6,004,768 units)",0,3/31/2020,6.0,7.7
324,PhyMED Management LLC,Provider of anesthesia services,Second lien senior secured loan ($57.7 par due 09/2022),0,12/18/2015,55.8,14.4
325,Premise Health Holding Corp. and OMERS Bluejay Investment Holdings LP (16),Provider of employer-sponsored onsite health and wellness clinics and pharmacies,First lien senior secured revolving loan ($12.0 par due 07/2023),3.74% (LIBOR + 3.25%/Q),7/10/2018,12.0,12.0
326,Premise Health Holding Corp. and OMERS Bluejay Investment Holdings LP (16),Provider of employer-sponsored onsite health and wellness clinics and pharmacies,First lien senior secured loan ($8.6 par due 07/2025),4.51% (LIBOR + 3.50%/Q),7/10/2018,8.6,8.6
327,Premise Health Holding Corp. and OMERS Bluejay Investment Holdings LP (16),Provider of employer-sponsored onsite health and wellness clinics and pharmacies,Second lien senior secured loan ($67.1 par due 07/2026),8.51% (LIBOR + 7.50%/Q),7/10/2018,66.7,67.1
328,Premise Health Holding Corp. and OMERS Bluejay Investment Holdings LP (16),Provider of employer-sponsored onsite health and wellness clinics and pharmacies,"Class A units (9,775 units)",0,7/10/2018,9.8,17.5
330,Project Ruby Ultimate Parent Corp.,Provider of care coordination and transition management software solutions,Second lien senior secured loan ($193.1 par due 03/2029),7.25% (LIBOR + 6.50%/M),3/10/2021,193.1,193.1
331,"Respicardia, Inc.",Developer of implantable therapies to improve cardiovascular health,"Warrant to purchase up to 99,094 shares of Series C preferred stock (expires 6/2022)",0,6/28/2012,0.0,0.0
332,"RTI Surgical, Inc. and Pioneer Surgical Technology, Inc. (16)","Manufacturer of biologic, metal and synthetic implants/devices",First lien senior secured revolving loan ($7.7 par due 07/2026),8.25% (LIBOR + 6.75%/M),7/20/2020,7.7,7.7
333,"RTI Surgical, Inc. and Pioneer Surgical Technology, Inc. (16)","Manufacturer of biologic, metal and synthetic implants/devices",First lien senior secured loan ($22.7 par due 07/2026),8.25% (LIBOR + 6.75%/Q),7/20/2020,22.7,22.7
335,"SiroMed Physician Services, Inc. and SiroMed Equity Holdings, LLC (16)",Outsourced anesthesia provider,First lien senior secured loan ($11.5 par due 03/2024),5.76% (LIBOR + 4.75%/Q),3/26/2018,11.5,10.3
336,"SiroMed Physician Services, Inc. and SiroMed Equity Holdings, LLC (16)",Outsourced anesthesia provider,"Common units (684,854 units)",0,3/26/2018,4.8,0.7
338,"SM Wellness Holdings, Inc. and SM Holdco, Inc. (16)",Breast cancer screening provider,"Series A units (8,041 units)",0,8/1/2018,8.0,0.1
339,"SM Wellness Holdings, Inc. and SM Holdco, Inc. (16)",Breast cancer screening provider,"Series B units (804,142 units)",0,8/1/2018,0.0,10.4
341,"Symplr Software Inc. and Symplr Software Intermediate Holdings, Inc. (16)",SaaS based healthcare compliance platform provider,First lien senior secured revolving loan ($1.4 par due 12/2025),6.25% (Base Rate + 2.75%/Q),12/22/2020,1.4,1.4
342,"Symplr Software Inc. and Symplr Software Intermediate Holdings, Inc. (16)",SaaS based healthcare compliance platform provider,First lien senior secured loan ($12.5 par due 12/2027),5.25% (SOFR + 4.50%/Q),2/8/2022,12.5,12.3
343,"Symplr Software Inc. and Symplr Software Intermediate Holdings, Inc. (16)",SaaS based healthcare compliance platform provider,Second lien senior secured loan ($76.2 par due 12/2028),8.63% (LIBOR + 7.88%/Q),12/22/2020,76.2,76.2
344,"Symplr Software Inc. and Symplr Software Intermediate Holdings, Inc. (16)",SaaS based healthcare compliance platform provider,"Series C-1 preferred shares (75,939 shares)",11.00% PIK,6/18/2021,87.3,87.3
346,"Symplr Software Inc. and Symplr Software Intermediate Holdings, Inc. (16)",SaaS based healthcare compliance platform provider,"Series C-2 preferred shares (40,114.766 shares)",11.00% PIK,6/18/2021,43.7,43.7
347,"Symplr Software Inc. and Symplr Software Intermediate Holdings, Inc. (16)",SaaS based healthcare compliance platform provider,"Series C-3 preferred shares (16,201.066 shares)",11.00% PIK,10/12/2021,17.1,17.1
349,"Synergy HomeCare Franchising, LLC and NP/Synergy Holdings, LLC (16)",Franchisor of private-pay home care for the elderly,First lien senior secured loan ($15.3 par due 04/2024),6.76% (LIBOR + 5.75%/Q),4/2/2018,15.3,15.3
350,"Synergy HomeCare Franchising, LLC and NP/Synergy Holdings, LLC (16)",Franchisor of private-pay home care for the elderly,Common units (550 units),0,4/2/2018,0.5,1.0
352,"Teligent, Inc.","Pharmaceutical company that develops, manufactures and markets injectable pharmaceutical products",Second lien senior secured loan ($80.6 par due 12/2022),0,12/13/2018,67.5,38.4
353,"Teligent, Inc.","Pharmaceutical company that develops, manufactures and markets injectable pharmaceutical products",Second lien senior secured loan ($1.5 par due 12/2022),0,1/27/2021,1.3,0.7
354,"Teligent, Inc.","Pharmaceutical company that develops, manufactures and markets injectable pharmaceutical products","Series D preferred stock (77,726 shares)",0,1/27/2021,0.0,0.0
355,"Teligent, Inc.","Pharmaceutical company that develops, manufactures and markets injectable pharmaceutical products","Warrant to purchase up to 490,492 shares of common stock (expires 4/2025)",0,4/6/2020,0.0,0.0
356,"Teligent, Inc.","Pharmaceutical company that develops, manufactures and markets injectable pharmaceutical products","Warrant to purchase up to 122,548 shares of common stock (expires 7/2025)",0,7/20/2020,0.0,0.0
358,Therapy Brands Holdings LLC (16),Provider of software solutions for the mental and behavioral health market segments,Second lien senior secured loan ($20.5 par due 05/2029),7.54% (LIBOR + 6.75%/Q),6/2/2021,20.3,20.5
359,"Touchstone Acquisition, Inc. and Touchstone Holding, L.P.","Manufacturer of consumable products in the dental, medical, cosmetic and consumer/industrial end-markets","Class A preferred units (2,149 units)",8.00% PIK,11/15/2018,2.8,2.1
360,"U.S. Anesthesia Partners, Inc. & U.S. Anesthesia Partners Holdings, Inc.",Anesthesiology service provider,Second lien senior secured loan ($147.8 par due 10/2029),8.00% (LIBOR + 7.50%/M),10/1/2021,147.8,146.3
361,"U.S. Anesthesia Partners, Inc. & U.S. Anesthesia Partners Holdings, Inc.",Anesthesiology service provider,"Common stock (3,671,429 shares)",0,12/3/2021,12.9,14.1
363,"VPP Intermediate Holdings, LLC and VPP Group Holdings, L.P. (16)",Veterinary hospital operator,First lien senior secured loan ($2.6 par due 12/2027),6.76% (LIBOR + 5.75%/Q),12/1/2021,2.6,2.5
364,"VPP Intermediate Holdings, LLC and VPP Group Holdings, L.P. (16)",Veterinary hospital operator,"Class A-2 units (7,524 units)",0,12/1/2021,7.5,7.1
366,WSHP FC Acquisition LLC (16),Provider of biospecimen products for pharma research,First lien senior secured revolving loan ($3.6 par due 03/2027),7.01% (LIBOR + 6.00%/Q),3/30/2018,3.6,3.6
367,WSHP FC Acquisition LLC (16),Provider of biospecimen products for pharma research,First lien senior secured loan ($4.9 par due 03/2027),7.01% (LIBOR + 6.00%/Q),10/14/2021,4.9,4.9
368,WSHP FC Acquisition LLC (16),Provider of biospecimen products for pharma research,First lien senior secured loan ($33.3 par due 03/2027),7.01% (LIBOR + 6.00%/Q),3/30/2018,33.3,33.3
369,WSHP FC Acquisition LLC (16),Provider of biospecimen products for pharma research,First lien senior secured loan ($3.0 par due 03/2027),7.01% (LIBOR + 6.00%/Q),11/23/2021,3.0,3.0
370,WSHP FC Acquisition LLC (16),Provider of biospecimen products for pharma research,First lien senior secured loan ($4.5 par due 03/2027),7.01% (LIBOR + 6.00%/Q),2/11/2019,4.5,4.5
371,WSHP FC Acquisition LLC (16),Provider of biospecimen products for pharma research,First lien senior secured loan ($8.5 par due 03/2027),7.01% (LIBOR + 6.00%/Q),8/30/2019,8.5,8.5
372,WSHP FC Acquisition LLC (16),Provider of biospecimen products for pharma research,First lien senior secured loan ($2.8 par due 03/2027),7.01% (LIBOR + 6.00%/Q),8/30/2019,2.8,2.8
373,WSHP FC Acquisition LLC (16),Provider of biospecimen products for pharma research,First lien senior secured loan ($10.8 par due 03/2027),7.01% (LIBOR + 6.00%/Q),10/31/2019,10.8,10.8
378,"BCC Blueprint Holdings I, LLC and BCC Blueprint Investments, LLC",Provider of comprehensive suite of investment management and wealth planning solutions,First lien senior secured loan ($0.2 par due 09/2027),7.08% (LIBOR + 6.25%/Q),9/15/2021,0.2,0.2
379,"BCC Blueprint Holdings I, LLC and BCC Blueprint Investments, LLC",Provider of comprehensive suite of investment management and wealth planning solutions,Senior subordinated loan ($4.6 par due 09/2026),9.30% PIK,9/15/2021,4.6,4.6
380,"BCC Blueprint Holdings I, LLC and BCC Blueprint Investments, LLC",Provider of comprehensive suite of investment management and wealth planning solutions,"Common units (4,288,445 units)",0,9/15/2021,4.3,3.8
382,"Beacon Pointe Harmony, LLC (16)",Provider of comprehensive wealth management services,First lien senior secured loan ($14.5 par due 12/2028),6.70% (LIBOR + 5.25%/S),12/29/2021,14.5,14.4
383,Convera International Holdings Limited and Convera International Financial S.A R.L. (16),Provider of B2B international payment and FX risk management solutions,First lien senior secured loan ($63.3 par due 03/2028),6.50% (SOFR + 5.75%/Q),3/1/2022,63.3,62.7
384,"CrossCountry Mortgage, LLC (16)",Mortgage company originating loans in the retail and consumer direct channels,First lien senior secured loan ($93.8 par due 11/2027),7.51% (LIBOR + 7.00%/Q),11/10/2021,93.8,92.8
385,DFC Global Facility Borrower III LLC (16),Non-bank provider of alternative financial services,First lien senior secured revolving loan ($148.2 par due 06/2026),8.50% (CDOR + 8.00%/M),6/10/2021,150.0,148.2
386,eCapital Finance Corp.,Consolidator of commercial finance businesses,Senior subordinated loan ($24.3 par due 01/2025),7.75% (LIBOR + 7.25%/M),1/13/2022,24.3,24.3
387,eCapital Finance Corp.,Consolidator of commercial finance businesses,Senior subordinated loan ($56.0 par due 01/2025),7.75% (LIBOR + 7.25%/M),1/31/2020,56.0,56.0
388,eCapital Finance Corp.,Consolidator of commercial finance businesses,Senior subordinated loan ($5.4 par due 01/2025),7.75% (LIBOR + 7.25%/M),11/24/2020,5.4,5.4
390,"EP Wealth Advisors, LLC (16)",Wealth management and financial planning firm,First lien senior secured revolving loan ($0.7 par due 09/2026),5.50% (LIBOR + 4.50%/Q),9/4/2020,0.7,0.7
391,"EP Wealth Advisors, LLC (16)",Wealth management and financial planning firm,First lien senior secured loan ($0.3 par due 09/2026),5.51% (LIBOR + 4.50%/Q),11/19/2021,0.3,0.3
392,"EP Wealth Advisors, LLC (16)",Wealth management and financial planning firm,First lien senior secured loan ($0.2 par due 09/2026),5.51% (LIBOR + 4.50%/Q),9/4/2020,0.2,0.2
394,"Green Street Parent, LLC and Green Street Intermediate Holdings, LLC (16)",Provider of REIT research data and analytics,First lien senior secured loan ($0.1 par due 08/2026),6.50% (LIBOR + 5.75%/Q),12/14/2021,0.1,0.1
395,"Ivy Hill Asset Management, L.P. (5)",Asset management services,Senior subordinated loan ($28.0 par due 5/2023),7.25% (LIBOR + 6.50%/Q),2/8/2018,28.0,28.0
396,"Ivy Hill Asset Management, L.P. (5)",Asset management services,Member interest (100.00% interest),0,6/15/2009,1085.8,1231.4
398,"Javlin Three LLC, Javlin Four LLC, and Javlin Five LLC",Asset-backed financial services company,First lien senior secured loan ($15.5 par due 11/2018),0,6/24/2014,12.5,0.0
399,Joyce Lane Capital LLC and Joyce Lane Financing SPV LLC (fka Ciena Capital LLC) (5)(16),Specialty finance company,Equity interests,0,11/29/2010,0.0,0.0
400,"Lido Advisors, LLC (16)",Wealth management and financial planning firm,First lien senior secured revolving loan ($0.2 par due 06/2027),7.00% (Base Rate + 3.50%/Q),6/15/2021,0.2,0.2
401,LS DE LLC and LM LSQ Investors LLC,Asset based lender,Senior subordinated loan ($37.0 par due 03/2024),10.50%,6/25/2015,37.0,37.0
402,LS DE LLC and LM LSQ Investors LLC,Asset based lender,Senior subordinated loan ($3.0 par due 06/2021),10.50%,6/15/2017,3.0,3.0
403,LS DE LLC and LM LSQ Investors LLC,Asset based lender,"Membership units (3,275,000 units)",0,6/25/2015,3.3,3.8
405,Monica Holdco (US) Inc. (16),Investment technology and advisory firm,First lien senior secured revolving loan,0,1/8/2021,0.0,0.0
406,Monica Holdco (US) Inc. (16),Investment technology and advisory firm,First lien senior secured loan ($2.6 par due 01/2028),7.25 % (LIBOR + 6.25%/Q),1/8/2021,2.6,2.6
409,"Priority Holdings, LLC and Priority Technology Holdings, Inc.",Provider of merchant acquiring and payment processing solutions,First lien senior secured loan ($35.7 par due 04/2027),6.75% (LIBOR + 5.75%/Q),4/27/2021,35.7,35.7
410,"Priority Holdings, LLC and Priority Technology Holdings, Inc.",Provider of merchant acquiring and payment processing solutions,"Senior preferred stock (65,761 shares)",13.00% PIK (LIBOR + 12.00%/Q),4/27/2021,65.5,69.5
411,"Priority Holdings, LLC and Priority Technology Holdings, Inc.",Provider of merchant acquiring and payment processing solutions,"Warrant to purchase up to 527,226 shares of common stock (expires 4/2031)",0,4/27/2021,4.0,3.0
413,"Rialto Management Group, LLC (16)",Investment and asset management platform focused on real estate,First lien senior secured revolving loan,0,11/30/2018,0.0,0.0
414,"Rialto Management Group, LLC (16)",Investment and asset management platform focused on real estate,First lien senior secured loan ($0.5 par due 12/2025),6.50% (LIBOR + 5.75%/M),11/30/2018,0.5,0.5
415,"Rialto Management Group, LLC (16)",Investment and asset management platform focused on real estate,First lien senior secured loan ($0.1 par due 12/2025),6.50% (LIBOR + 5.75%/M),12/22/2021,0.1,0.1
416,"Rialto Management Group, LLC (16)",Investment and asset management platform focused on real estate,First lien senior secured loan ($0.1 par due 12/2025),6.50% (LIBOR + 5.75%/M),4/30/2021,0.1,0.1
418,"TA/WEG Holdings, LLC (16)",Wealth management and financial planning firm,First lien senior secured revolving loan ($0.5 par due 10/2027),6.75% (LIBOR + 5.75%/Q),10/2/2019,0.5,0.5
419,"TA/WEG Holdings, LLC (16)",Wealth management and financial planning firm,First lien senior secured loan ($0.1 par due 10/2027),6.75% (LIBOR + 5.75%/M),6/3/2021,0.1,0.1
420,"TA/WEG Holdings, LLC (16)",Wealth management and financial planning firm,First lien senior secured loan ($6.2 par due 10/2027),6.75% (LIBOR + 5.75%/Q),8/13/2021,6.2,6.2
421,"TA/WEG Holdings, LLC (16)",Wealth management and financial planning firm,First lien senior secured loan ($0.1 par due 10/2027),6.75% (LIBOR + 5.75%/Q),10/2/2019,0.1,0.1
422,"TA/WEG Holdings, LLC (16)",Wealth management and financial planning firm,First lien senior secured loan ($0.1 par due 10/2027),6.75% (LIBOR + 5.75%/Q),11/6/2020,0.1,0.1
424,"The Mather Group, LLC, TVG-TMG Topco, Inc., and TVG-TMG Holdings, LLC (16)",Provider of comprehensive wealth management services,First lien senior secured loan ($2.8 par due 03/2028),6.50% (LIBOR + 5.75%/Q),3/31/2022,2.8,2.8
425,"The Mather Group, LLC, TVG-TMG Topco, Inc., and TVG-TMG Holdings, LLC (16)",Provider of comprehensive wealth management services,Senior subordinated loan ($2.8 par due 03/2029),12.00%,3/31/2022,2.8,2.7
426,"The Mather Group, LLC, TVG-TMG Topco, Inc., and TVG-TMG Holdings, LLC (16)",Provider of comprehensive wealth management services,"Series A preferred units (7,199 units)",0,3/31/2022,7.2,7.2
427,"The Mather Group, LLC, TVG-TMG Topco, Inc., and TVG-TMG Holdings, LLC (16)",Provider of comprehensive wealth management services,"Common units (7,199 units)",0,3/31/2022,0.0,0.0
429,"The Ultimus Group Midco, LLC, The Ultimus Group, LLC, and The Ultimus Group Aggregator, LP (16)",Provider of asset-servicing capabilities for fund managers,First lien senior secured loan ($37.7 par due 02/2026),5.76% (LIBOR + 4.75%/Q),2/1/2019,37.7,37.7
430,"The Ultimus Group Midco, LLC, The Ultimus Group, LLC, and The Ultimus Group Aggregator, LP (16)",Provider of asset-servicing capabilities for fund managers,"Class A units (1,443 units)",0,9/16/2019,1.6,1.9
431,"The Ultimus Group Midco, LLC, The Ultimus Group, LLC, and The Ultimus Group Aggregator, LP (16)",Provider of asset-servicing capabilities for fund managers,Class A units (245 units),0,2/1/2019,0.2,0.0
432,"The Ultimus Group Midco, LLC, The Ultimus Group, LLC, and The Ultimus Group Aggregator, LP (16)",Provider of asset-servicing capabilities for fund managers,"Class B units (2,167,424 units)",0,2/1/2019,0.0,0.0
433,"The Ultimus Group Midco, LLC, The Ultimus Group, LLC, and The Ultimus Group Aggregator, LP (16)",Provider of asset-servicing capabilities for fund managers,"Class B units (245,194 units)",0,2/1/2019,0.0,0.0
435,"WA Asset Management, LLC (16)",Wealth management and financial planning firm,First lien senior secured loan ($2.8 par due 03/2028),6.25% (SOFR + 5.50%/Q),3/1/2022,2.8,2.7
438,Accommodations Plus Technologies LLC and Accommodations Plus Technologies Holdings LLC (16),Provider of outsourced crew accommodations and logistics management solutions to the airline industry,First lien senior secured revolving loan ($4.1 par due 05/2023),9.51% (LIBOR + 8.50%/Q),5/11/2018,4.1,4.0
440,Accommodations Plus Technologies LLC and Accommodations Plus Technologies Holdings LLC (16),Provider of outsourced crew accommodations and logistics management solutions to the airline industry,"Class A common units (236,358 units)",0,5/11/2018,4.3,4.6
442,Aero Operating LLC,Provider of snow removal and melting service for airports and marine terminals,First lien senior secured loan ($1.2 par due 02/2026),8.50% (LIBOR + 7.00%/M),12/31/2021,1.2,1.2
443,Aero Operating LLC,Provider of snow removal and melting service for airports and marine terminals,First lien senior secured loan ($36.5 par due 02/2026),8.50% (LIBOR + 7.00%/M),2/7/2020,36.5,36.5
445,"Argenbright Holdings V, LLC (16)","Provider of outsourced security guard services, outsourced facilities management and outsourced aviation services",First lien senior secured loan ($21.1 par due 11/2026),7.00% (LIBOR + 6.00%/M),11/30/2021,21.1,20.8
446,"Capstone Acquisition Holdings, Inc. and Capstone Parent Holdings, LP (16)",Outsourced supply chain solutions provider to operators of distribution centers,First lien senior secured revolving loan,0,11/12/2020,0.0,0.0
447,"Capstone Acquisition Holdings, Inc. and Capstone Parent Holdings, LP (16)",Outsourced supply chain solutions provider to operators of distribution centers,First lien senior secured loan ($0.3 par due 11/2027),5.75% (LIBOR + 4.75%/M),11/12/2020,0.3,0.3
448,"Capstone Acquisition Holdings, Inc. and Capstone Parent Holdings, LP (16)",Outsourced supply chain solutions provider to operators of distribution centers,Second lien senior secured loan ($68.3 par due 11/2028),9.75% (LIBOR + 8.75%/M),11/12/2020,68.3,68.3
449,"Capstone Acquisition Holdings, Inc. and Capstone Parent Holdings, LP (16)",Outsourced supply chain solutions provider to operators of distribution centers,"Class A units (10,581 units)",0,11/12/2020,10.6,15.0
451,"Cozzini Bros., Inc. and BH-Sharp Holdings LP (16)",Provider of commercial knife sharpening and cutlery services in the restaurant industry,First lien senior secured loan ($12.5 par due 03/2023),"8.51% (LIBOR + 3.00% Cash, 4.50% PIK/Q)",3/10/2017,12.5,11.7
452,"Cozzini Bros., Inc. and BH-Sharp Holdings LP (16)",Provider of commercial knife sharpening and cutlery services in the restaurant industry,"Common units (2,950,000 units)",0,3/10/2017,3.0,1.2
454,"DTI Holdco, Inc. and OPE DTI Holdings, Inc. (16)",Provider of legal process outsourcing and managed services,First lien senior secured revolving loan ($4.4 par due 06/2023),4.82% (LIBOR + 4.50%/M),9/23/2016,4.4,4.2
455,"DTI Holdco, Inc. and OPE DTI Holdings, Inc. (16)",Provider of legal process outsourcing and managed services,First lien senior secured revolving loan ($0.9 par due 06/2023),7.00% (Base Rate + 3.50%/M),9/23/2016,0.9,0.8
456,"DTI Holdco, Inc. and OPE DTI Holdings, Inc. (16)",Provider of legal process outsourcing and managed services,"Class A common stock (7,500 shares)",0,8/19/2014,7.5,5.8
457,"DTI Holdco, Inc. and OPE DTI Holdings, Inc. (16)",Provider of legal process outsourcing and managed services,"Class B common stock (7,500 shares)",0,8/19/2014,0.0,0.0
459,"Elevation Services Parent Holdings, LLC",Elevator service platform,First lien senior secured loan ($10.3 par due 12/2026),7.00% (LIBOR + 6.00%/Q),12/18/2020,10.3,10.3
460,"HAI Acquisition Corporation and Aloha Topco, LLC (16)","Professional employer organization offering human resources, compliance and risk management services",First lien senior secured loan ($0.1 par due 11/2025),6.00% (LIBOR + 5.25%/M),9/28/2021,0.1,0.1
461,"HAI Acquisition Corporation and Aloha Topco, LLC (16)","Professional employer organization offering human resources, compliance and risk management services",First lien senior secured loan ($61.0 par due 11/2025),6.00% (LIBOR + 5.25%/M),11/1/2017,61.0,61.0
462,"HAI Acquisition Corporation and Aloha Topco, LLC (16)","Professional employer organization offering human resources, compliance and risk management services","Class A units (16,980 units)",0,11/1/2017,1.7,2.6
464,"HH-Stella, Inc. and Bedrock Parent Holdings, LP (16)",Provider of municipal solid waste transfer management services,First lien senior secured revolving loan ($2.3 par due 04/2027),6.50% (LIBOR + 5.50%/Q),4/22/2021,2.3,2.3
465,"HH-Stella, Inc. and Bedrock Parent Holdings, LP (16)",Provider of municipal solid waste transfer management services,First lien senior secured loan ($3.3 par due 04/2028),6.56% (LIBOR + 5.50%/M),4/22/2021,3.3,3.3
466,"HH-Stella, Inc. and Bedrock Parent Holdings, LP (16)",Provider of municipal solid waste transfer management services,"Class A units (25,490 units)",0,4/22/2021,2.5,2.4
468,"IRI Holdings, Inc., IRI Group Holdings, Inc. and IRI Parent, L.P.",Market research company focused on the consumer packaged goods industry,First lien senior secured loan ($42.2 par due 12/2025),4.71% (LIBOR + 4.25%/M),11/30/2018,41.8,42.2
469,"IRI Holdings, Inc., IRI Group Holdings, Inc. and IRI Parent, L.P.",Market research company focused on the consumer packaged goods industry,Second lien senior secured loan ($86.8 par due 11/2026),8.46% (LIBOR + 8.00%/M),11/30/2018,85.9,86.8
470,"IRI Holdings, Inc., IRI Group Holdings, Inc. and IRI Parent, L.P.",Market research company focused on the consumer packaged goods industry,"Series A-1 preferred shares (46,900 shares)",11.50% PIK (LIBOR + 10.50%/Q),11/30/2018,69.1,69.8
