,Industry,Company,Investment Type,Spread Above Index,Interest Rate,Maturity Date,Principal Shares,Amortized Cost,Percentage of Net Assets,Fair Value,10
226,Diversified Consumer Services,"Liminex, Inc.+One stop",One stop,SF +6.25(l),10.98,11/2026,20000,19827,0.8,19800,
227,Diversified Consumer Services,"Liminex, Inc.+One stop",One stop,SF +7.25(l),11.98,11/2026,800,794,-,816,
228,Diversified Consumer Services,"Liminex, Inc.+(5)",One stop,SF +7.25,N/A(6),11/2026,-,(1),-,-,
229,Diversified Consumer Services,Litera Bidco LLC+One stop,One stop,SF +6.0(k),10.42,05/2026,5704,5654,0.2,5647,
230,Diversified Consumer Services,Litera Bidco LLC+One stop,One stop,SF +5.75(k),10.17,05/2026,3664,3678,0.2,3602,
231,Diversified Consumer Services,Litera Bidco LLC+One stop,One stop,SF +5.75(k),10.17,05/2026,687,702,-,675,
232,Diversified Consumer Services,Litera Bidco LLC+One stop,One stop,SF +5.75(k),10.17,05/2026,687,702,-,675,
233,Diversified Consumer Services,Litera Bidco LLC+One stop,One stop,SF +6.0(k),10.42,05/2026,516,512,-,511,
234,Diversified Consumer Services,Litera Bidco LLC+One stop,One stop,L +5.75(b),10.35,05/2025,16,16,-,16,
235,Diversified Consumer Services,"Mario Purchaser, LLC+One stop",One stop,SF +5.75(k),10.17,04/2029,7634,7497,0.3,7482,
236,Diversified Consumer Services,"Mario Purchaser, LLC+(22)",One stop,SF +10.75(k),15.17PIK,04/2032,1584,1545,0.1,1584,
237,Diversified Consumer Services,"Mario Purchaser, LLC+(5)",One stop,SF +5.75,N/A(6),04/2028,-,(1),-,(1),
238,Diversified Consumer Services,"Mario Purchaser, LLC+One stop",One stop,SF +5.75(k),10.17,04/2029,108,104,-,101,
239,Diversified Consumer Services,"Mathnasium, LLC#",One stop,L +5.0(c),10.13,11/2027,9237,9162,0.4,9145,
240,Diversified Consumer Services,"Mathnasium, LLC+One stop",One stop,L +5.0(c),10.13,11/2027,13,12,-,12,
241,Diversified Consumer Services,"NSG Buyer, Inc. *#+One stop",One stop,SF +6.5(k),10.92,11/2029,20152,19711,0.8,19950,
242,Diversified Consumer Services,"NSG Buyer, Inc. +(5)",One stop,SF +6.5,N/A(6),11/2029,-,(47),-,(48),
243,Diversified Consumer Services,"NSG Buyer, Inc. +(5)",One stop,SF +6.5,N/A(6),11/2028,-,-,-,(1),
244,Diversified Consumer Services,"PADI Holdco, Inc.*#(22)",One stop,L +7.25(b),10.49cash/1.50PIK,04/2024,21631,21596,0.9,21197,
245,Diversified Consumer Services,"PADI Holdco, Inc.+(8)(9)(22)",One stop,E +7.25(e),7.71cash/1.50PIK,04/2024,19541,20927,0.8,19149,
246,Diversified Consumer Services,"PADI Holdco, Inc.+(22)",One stop,L +7.25(b),9.96cash/1.50PIK,04/2024,827,824,-,811,
247,Diversified Consumer Services,"PADI Holdco, Inc.+(22)",One stop,L +7.25(b),10.49cash/1.50PIK,04/2024,171,170,-,167,
248,Diversified Consumer Services,"PADI Holdco, Inc.+(5)",One stop,L +5.75,N/A(6),04/2023,-,-,-,(2),
249,Diversified Consumer Services,Provenance Buyer LLC#+One stop,One stop,L +5.0(a),9.38,06/2027,18232,17956,0.7,18232,
250,Diversified Consumer Services,Provenance Buyer LLC+One stop,One stop,L +5.0(a),9.38,06/2027,9950,9861,0.4,9950,
251,Diversified Consumer Services,Provenance Buyer LLC+(5),One stop,L +5.0,N/A(6),06/2027,-,(2),-,-,
252,Diversified Consumer Services,Provenance Buyer LLC+(5),One stop,L +5.0,N/A(6),06/2027,-,(2),-,-,
253,Diversified Consumer Services,RW AM Holdco LLC#+One stop,One stop,SF +5.25(m),9.33,04/2028,17685,17528,0.7,16800,
254,Diversified Consumer Services,RW AM Holdco LLC+(5),One stop,P +4.25,N/A(6),04/2028,-,(1),-,(8),
255,Diversified Financial Services,Diversified Financial Services,One stop,,,,,,,,
256,Diversified Financial Services,"Adenza Group, Inc. +One stop",One stop,L +5.75(a),10.13,12/2027,4006,3944,0.1,3885,
257,Diversified Financial Services,"Adenza Group, Inc. +(5)",One stop,L +5.75,N/A(6),12/2027,-,-,-,(1),
258,Diversified Financial Services,"Adenza Group, Inc. +One stop",One stop,L +5.75,N/A(6),12/2025,-,-,-,-,
259,Diversified Financial Services,"Avalara, Inc.+One stop",One stop,SF +7.25(l),11.83,10/2028,11941,11653,0.5,11642,
260,Diversified Financial Services,"Avalara, Inc.+(5)",One stop,SF +7.25,N/A(6),10/2028,-,(3),-,(3),
261,Diversified Financial Services,"Banker's Toolbox, Inc.+One stop",One stop,SF +5.25(m),9.23,07/2027,7997,7922,0.3,7837,
262,Diversified Financial Services,"Banker's Toolbox, Inc.+(5)",One stop,SF +5.25,N/A(6),07/2027,-,-,-,(2),
263,Diversified Financial Services,"Banker's Toolbox, Inc.+One stop",One stop,SF +5.25(k),9.57,07/2027,1284,1279,-,1216,
264,Diversified Financial Services,"Flash Topco, Inc.*",One stop,L +5.75(b),10.16,10/2028,9795,9713,0.4,9305,
265,Diversified Financial Services,"Flash Topco, Inc.+One stop",One stop,L +5.75(b),10.12,10/2028,27,26,-,21,
266,Diversified Financial Services,"Higginbotham Insurance Agency, Inc.+One stop",One stop,L +5.25(a),9.63,11/2026,4565,4519,0.2,4519,
267,Diversified Financial Services,"Higginbotham Insurance Agency, Inc.+One stop",One stop,L +5.25(a),9.63,11/2026,78,78,-,77,
268,Diversified Telecommunication Services,Diversified Telecommunication Services,One stop,,,,,,,,
269,Diversified Telecommunication Services,"NTI Connect, LLC+Senior loan",One stop,SF +4.75(l),9.48,12/2024,1624,1607,0.1,1624,
270,"Electronic Equipment, Instruments & Components","Electronic Equipment, Instruments & Components",One stop,,,,,,,,
271,"Electronic Equipment, Instruments & Components",CST Holding Company+One stop,One stop,SF +6.75(k),10.97,11/2028,24719,23998,1.0,23977,
272,"Electronic Equipment, Instruments & Components",CST Holding Company+One stop,One stop,SF +6.75(k),10.97,11/2028,5,4,-,4,
273,Food & Staples Retailing,Food & Staples Retailing,One stop,,,,,,,,
274,Food & Staples Retailing,"Cafe Rio Holding, Inc.*#",One stop,SF +5.5(l),10.23,09/2028,18178,18083,0.7,18178,
275,Food & Staples Retailing,"Cafe Rio Holding, Inc.+One stop",One stop,SF +5.5(l),10.23,09/2028,3269,3242,0.2,3269,
276,Food & Staples Retailing,"Cafe Rio Holding, Inc.#+One stop",One stop,SF +5.5(l),10.23,09/2028,2196,2196,0.1,2196,
277,Food & Staples Retailing,"Cafe Rio Holding, Inc.*#",One stop,SF +5.5(l),10.23,09/2028,1394,1394,0.1,1394,
278,Food & Staples Retailing,"Cafe Rio Holding, Inc.#+One stop",One stop,SF +5.5(l),10.23,09/2028,1231,1231,0.1,1231,
279,Food & Staples Retailing,"Cafe Rio Holding, Inc.+One stop",One stop,SF +5.5(l),10.23,09/2028,229,227,-,229,
280,Food & Staples Retailing,"Cafe Rio Holding, Inc.+One stop",One stop,SF +5.5(l),10.23,09/2028,177,176,-,177,
281,Food & Staples Retailing,"Cafe Rio Holding, Inc.+(5)",One stop,SF +5.5,N/A(6),09/2028,-,(1),-,-,
282,Food & Staples Retailing,"Cafe Rio Holding, Inc.+One stop",One stop,SF +5.5(l),10.23,09/2028,80,79,-,80,
283,Food & Staples Retailing,"Mendocino Farms, LLC+One stop",One stop,SF +6.25(k),10.67,06/2025,929,925,-,929,
284,Food & Staples Retailing,"Mendocino Farms, LLC+One stop",One stop,SF +6.25(k),10.67,06/2025,730,727,-,730,
285,Food & Staples Retailing,"Mendocino Farms, LLC+One stop",One stop,SF +6.25(k),10.67,06/2025,716,710,-,716,
286,Food & Staples Retailing,"Mendocino Farms, LLC+One stop",One stop,SF +6.25(k),10.67,06/2025,353,349,-,353,
287,Food & Staples Retailing,"Mendocino Farms, LLC+One stop",One stop,SF +6.25(k),10.67,06/2025,352,349,-,352,
288,Food & Staples Retailing,"Mendocino Farms, LLC+One stop",One stop,SF +6.25(k),10.67,06/2025,174,172,-,174,
289,Food & Staples Retailing,"Mendocino Farms, LLC+One stop",One stop,SF +6.25(k),10.67,06/2025,105,104,-,105,
290,Food & Staples Retailing,"Mendocino Farms, LLC+(5)",One stop,SF +6.25,N/A(6),06/2025,-,(15),-,-,
291,Food & Staples Retailing,"Mendocino Farms, LLC+One stop",One stop,SF +6.25(k),10.67,06/2025,310,307,-,310,
292,Food & Staples Retailing,"Ruby Slipper Cafe LLC, The*+One stop",One stop,SF +7.5(l),12.23,06/2024,2018,2018,0.1,2018,
293,Food & Staples Retailing,"Ruby Slipper Cafe LLC, The+One stop",One stop,SF +7.5(l),12.23,06/2024,409,409,-,409,
294,Food & Staples Retailing,"Ruby Slipper Cafe LLC, The+One stop",One stop,SF +7.5(l),12.23,06/2024,291,289,-,291,
295,Food & Staples Retailing,"Ruby Slipper Cafe LLC, The+One stop",One stop,SF +7.5(l),12.23,06/2024,-,-,-,-,
296,Food & Staples Retailing,"Ruby Slipper Cafe LLC, The+One stop",One stop,SF +7.5,N/A(6),06/2024,-,-,-,-,
297,Food & Staples Retailing,Wineshipping.com LLC+One stop,One stop,L +5.75(b),10.16,10/2027,6776,6722,0.3,6505,
298,Food & Staples Retailing,Wineshipping.com LLC+One stop,One stop,L +5.75(b),9.66,10/2027,185,177,-,178,
299,Food & Staples Retailing,Wineshipping.com LLC+One stop,One stop,L +5.75(b),10.24,10/2027,20,19,-,17,
300,Food & Staples Retailing,Wood Fired Holding Corp.*#,One stop,L +6.25(b),10.98,12/2023,8006,8047,0.3,8006,
301,Food & Staples Retailing,Wood Fired Holding Corp.+One stop,One stop,L +6.25,N/A(6),12/2023,-,-,-,-,
302,Food Products,Food Products,One stop,,,,,,,,
303,Food Products,"Borrower R365 Holdings, LLC+(22)",One stop,L +6.5(b),8.23cash/3.00PIK,06/2027,13560,13369,0.6,13560,
304,Food Products,"Borrower R365 Holdings, LLC+(22)",One stop,L +6.5(b),8.23cash/3.00PIK,06/2027,1118,1100,-,1118,
305,Food Products,"Borrower R365 Holdings, LLC+(5)",One stop,L +6.5,N/A(6),06/2027,-,(1),-,-,
306,Food Products,"Borrower R365 Holdings, LLC+(5)",One stop,L +6.5,N/A(6),06/2027,-,(1),-,-,
307,Food Products,"Flavor Producers, LLC#+(22)",Senior loan,SF +6.5(d)(l),9.43cash/1.75PIK,12/2024,5006,4976,0.2,4856,
308,Food Products,"Flavor Producers, LLC+(22)",Senior loan,SF +6.5(l),11.13,09/2024,-,-,-,-,
309,Food Products,"Kodiak Cakes, LLC*#+Senior loan",Senior loan,L +6.0(b),10.73,06/2027,12369,12253,0.4,11256,
310,Food Products,"Kodiak Cakes, LLC+Senior loan",Senior loan,L +6.0(b),10.73,06/2026,150,149,-,139,
311,Food Products,"Louisiana Fish Fry Products, Ltd.*+One stop",Senior loan,SF +6.25(l),10.80,07/2027,9753,9677,0.4,8875,
312,Food Products,"Louisiana Fish Fry Products, Ltd.+One stop",Senior loan,SF +6.25(l),10.91,07/2027,73,71,-,64,
313,Food Products,"MAPF Holdings, Inc.*#+One stop",Senior loan,SF +5.5(l),10.23,12/2026,37883,37629,1.5,37504,
314,Food Products,"MAPF Holdings, Inc.+One stop",Senior loan,SF +5.5(b)(l),10.08,12/2026,120,118,-,117,
315,Food Products,"P&P Food Safety Holdings, Inc.*+One stop",Senior loan,SF +6.0(l),10.73,12/2026,17677,17518,0.7,16970,
316,Food Products,"P&P Food Safety Holdings, Inc.+(5)",One stop,SF +6.0,N/A(6),12/2026,-,(1),-,(4),
317,Food Products,"P&P Food Safety Holdings, Inc.+(5)",One stop,SF +6.0,N/A(6),12/2026,-,(5),-,-,
318,Food Products,"Purfoods, LLC+(22)",One stop,No Value,7.00PIK,05/2026,66,69,-,66,
319,Food Products,Ultimate Baked Goods Midco LLC+One stop,One stop,L +6.5(a),10.88,08/2027,6654,6591,0.3,6322,
320,Food Products,Ultimate Baked Goods Midco LLC+(5),One stop,L +6.5(a),10.88,08/2027,18,(9),-,14,
321,Food Products,"Whitebridge Pet Brands, LLC*#+One stop",One stop,L +5.0(a),9.38,07/2027,22945,22645,0.9,22486,
322,Food Products,"Whitebridge Pet Brands, LLC+One stop",One stop,L +5.0(a),9.36,07/2027,100,98,-,95,
323,Food Products,Wizard Bidco Limited+(8)(9)(10),One stop,SN +4.5(i),7.93,03/2029,6573,7066,0.2,6094,
324,Food Products,Wizard Bidco Limited+(8)(9)(10),One stop,SN +4.5(i),7.93,09/2028,91,88,-,85,
325,Health Care Equipment & Supplies,Health Care Equipment & Supplies,One stop,,,,,,,,
326,Health Care Equipment & Supplies,"Aspen Medical Products, LLC#+One stop",One stop,L +5.25(b),9.08,06/2025,4115,4152,0.2,4074,
327,Health Care Equipment & Supplies,"Aspen Medical Products, LLC+One stop",One stop,L +5.25(b),9.08,06/2025,263,262,-,260,
328,Health Care Equipment & Supplies,"Aspen Medical Products, LLC+One stop",One stop,L +5.25,N/A(6),06/2025,-,-,-,-,
329,Health Care Equipment & Supplies,Baduhenna Bidco Limited+(8)(10),One stop,SF +5.95(j),10.53,08/2028,5415,5355,0.2,5415,
330,Health Care Equipment & Supplies,Baduhenna Bidco Limited+(8)(9)(10),One stop,E +5.95(e),7.93,08/2028,3100,3391,0.1,3065,
331,Health Care Equipment & Supplies,Baduhenna Bidco Limited+(8)(9)(10),One stop,SN +5.95(i),9.50,08/2028,856,942,-,851,
332,Health Care Equipment & Supplies,Baduhenna Bidco Limited+(8)(9)(10),One stop,E +5.95(e),8.15,08/2028,740,757,-,731,
333,Health Care Equipment & Supplies,Baduhenna Bidco Limited+(5)(8)(9)(10),One stop,SF +5.95,N/A(6),08/2028,-,(16),-,(7),
334,Health Care Equipment & Supplies,"Belmont Instrument, LLC*#",One stop,SF +6.25(l),10.76,08/2028,9875,9783,0.4,9777,
335,Health Care Equipment & Supplies,"Belmont Instrument, LLC+One stop",One stop,P +5.25(d),12.75,08/2028,15,14,-,14,
336,Health Care Equipment & Supplies,"Blades Buyer, Inc.#+Senior loan",One stop,SF +5.0(l)(m),8.66,03/2028,10026,9929,0.4,9773,
337,Health Care Equipment & Supplies,"Blades Buyer, Inc.+(5)",Senior loan,SF +4.75,N/A(6),03/2028,-,(1),-,(6),
338,Health Care Equipment & Supplies,"Blades Buyer, Inc.+Senior loan",Senior loan,SF +5.0(k),9.37,03/2028,319,318,-,311,
339,Health Care Equipment & Supplies,"Blades Buyer, Inc.+Senior loan",Senior loan,SF +5.25(k),9.37,03/2028,1311,1290,0.1,1291,
340,Health Care Equipment & Supplies,"Blue River Pet Care, LLC*#+One stop",Senior loan,L +5.0(a),9.38,07/2026,51066,50779,2.0,49533,
341,Health Care Equipment & Supplies,"Blue River Pet Care, LLC+(5)",One stop,L +5.0,N/A(6),08/2025,-,(2),-,(8),
342,Health Care Equipment & Supplies,"Blue River Pet Care, LLC+One stop",One stop,L +5.0(a),9.37,07/2026,770,761,-,736,
343,Health Care Equipment & Supplies,"Blue River Pet Care, LLC+One stop",One stop,L +5.0(a),9.38,07/2026,180,178,-,174,
344,Health Care Equipment & Supplies,"Blue River Pet Care, LLC+One stop",One stop,L +5.0(a),9.38,07/2026,173,171,-,167,
345,Health Care Equipment & Supplies,"CCSL Holdings, LLC*+One stop",One stop,SF +6.5(k),10.92,12/2026,15359,15230,0.6,15206,
346,Health Care Equipment & Supplies,"CCSL Holdings, LLC+One stop",One stop,SF +6.5(k),10.92,12/2026,4146,4114,0.2,4104,
347,Health Care Equipment & Supplies,"CCSL Holdings, LLC+(8)(9)",One stop,SN +6.5(i),10.03,12/2026,2351,2423,0.1,2327,
348,Health Care Equipment & Supplies,"CCSL Holdings, LLC+One stop",One stop,SF +6.5(k),10.92,12/2026,130,128,-,128,
349,Health Care Equipment & Supplies,"CCSL Holdings, LLC+(5)",One stop,SF +6.5,N/A(6),12/2026,-,(14),-,(14),
350,Health Care Equipment & Supplies,"CCSL Holdings, LLC+(5)",One stop,SF +6.5,N/A(6),12/2026,-,(23),-,(26),
351,Health Care Equipment & Supplies,CMI Parent Inc.#+Senior loan,One stop,SF +4.75(k),9.17,08/2025,6483,6541,0.3,6352,
352,Health Care Equipment & Supplies,CMI Parent Inc.+Senior loan,One stop,SF +4.75(k),9.17,08/2025,3212,3190,0.1,3148,
353,Health Care Equipment & Supplies,CMI Parent Inc.+(5),Senior loan,L +4.75,N/A(6),08/2025,-,(2),-,(6),
354,Health Care Equipment & Supplies,CMI Parent Inc.+Senior loan,Senior loan,SF +4.75(k),9.17,08/2025,2925,2898,0.1,2866,
355,Health Care Equipment & Supplies,"G & H Wire Company, Inc.#+(22)",One stop,L +9.0(c),11.17cash/2.00PIK,09/2023,11471,11278,0.5,11356,
356,Health Care Equipment & Supplies,"G & H Wire Company, Inc.+(22)",One stop,L +9.0(b),11.73cash/2.00PIK,06/2023,94,92,-,94,
357,Health Care Equipment & Supplies,"Joerns Healthcare, LLC+(7)(22)",One stop,SF +16.0(l),10.78cash/10.00PIK,08/2024,2187,1974,-,-,
358,Health Care Equipment & Supplies,"Joerns Healthcare, LLC+(7)(22)",One stop,SF +16.0(l),10.78cash/10.00PIK,08/2024,2103,1900,-,-,
359,Health Care Equipment & Supplies,"Joerns Healthcare, LLC+One stop",One stop,SF +18.0(l),22.51,01/2024,1290,1290,-,839,
360,Health Care Equipment & Supplies,"Joerns Healthcare, LLC+One stop",One stop,SF +18.0(l),22.51,01/2024,262,262,-,262,
361,Health Care Providers & Services,Health Care Providers & Services,One stop,,,,,,,,
362,Health Care Providers & Services,"AAH TOPCO, LLC +One stop",One stop,L +5.5(a),9.89,12/2027,8308,8239,0.3,8059,
363,Health Care Providers & Services,"AAH TOPCO, LLC +(22)",Subordinated debt,No Value,11.50PIK,12/2031,1111,1093,-,1033,
364,Health Care Providers & Services,"AAH TOPCO, LLC +(5)",One stop,L +5.5,N/A(6),12/2027,-,(1),-,(2),
365,Health Care Providers & Services,"AAH TOPCO, LLC +One stop",One stop,L +5.5(a),9.82,12/2027,280,275,-,262,
366,Health Care Providers & Services,"Active Day, Inc.#+One stop",One stop,SF +5.75(l),10.48,02/2025,17701,17540,0.7,17347,
367,Health Care Providers & Services,"Active Day, Inc.#+One stop",One stop,SF +5.75(l),10.48,02/2025,1366,1354,0.1,1339,
368,Health Care Providers & Services,"Active Day, Inc.*#",One stop,SF +5.75(l),10.48,02/2025,880,873,0.1,863,
369,Health Care Providers & Services,"Active Day, Inc.+One stop",One stop,SF +5.75(l),10.48,02/2025,701,695,-,687,
370,Health Care Providers & Services,"Active Day, Inc.+One stop",One stop,SF +5.75(l),10.48,02/2025,619,614,-,607,
371,Health Care Providers & Services,"Active Day, Inc.*#",One stop,SF +5.75(l),10.48,02/2025,608,603,-,597,
372,Health Care Providers & Services,"Active Day, Inc.+(5)",One stop,SF +5.75,N/A(6),02/2025,-,(2),-,(4),
373,Health Care Providers & Services,"Active Day, Inc.+One stop",One stop,SF +5.75(l),10.48,02/2025,-,-,-,-,
374,Health Care Providers & Services,"Acuity Eyecare Holdings, LLC+One stop",One stop,SF +6.0(l),10.65,03/2025,16467,16355,0.6,16222,
375,Health Care Providers & Services,"Acuity Eyecare Holdings, LLC+(22)",One stop,No Value,15.00,06/2027,10831,10642,0.4,10831,
376,Health Care Providers & Services,"Acuity Eyecare Holdings, LLC+One stop",One stop,SF +6.25(l),10.98,03/2025,4067,4059,0.2,4027,
377,Health Care Providers & Services,"Acuity Eyecare Holdings, LLC+One stop",One stop,SF +6.25(l),10.93,03/2025,3623,3601,0.1,3587,
378,Health Care Providers & Services,"Acuity Eyecare Holdings, LLC#+One stop",One stop,SF +6.25(l),10.98,03/2025,3504,3505,0.2,3469,
379,Health Care Providers & Services,"Acuity Eyecare Holdings, LLC+One stop",One stop,SF +6.25(l),10.98,03/2025,3195,3234,0.1,3163,
380,Health Care Providers & Services,"Acuity Eyecare Holdings, LLC+One stop",One stop,SF +6.0(l),10.41,03/2025,2042,2014,0.1,2012,
381,Health Care Providers & Services,"Acuity Eyecare Holdings, LLC+One stop",One stop,SF +6.25(l),10.98,03/2025,1863,1901,0.1,1845,
382,Health Care Providers & Services,"Acuity Eyecare Holdings, LLC+One stop",One stop,SF +6.25(l),10.98,03/2025,451,452,-,446,
383,Health Care Providers & Services,"Acuity Eyecare Holdings, LLC+(22)",One stop,SF +13.0(l),10.98cash/6.75PIK,03/2025,254,253,-,267,
384,Health Care Providers & Services,"Acuity Eyecare Holdings, LLC+One stop",One stop,SF +6.25(l),10.98,03/2025,166,165,-,165,
385,Health Care Providers & Services,"Acuity Eyecare Holdings, LLC+(5)",One stop,SF +6.0,N/A(6),03/2025,-,(5),-,(7),
386,Health Care Providers & Services,"Acuity Eyecare Holdings, LLC+Senior loan",One stop,SF +6.25(l),10.60,03/2025,110,109,-,108,
387,Health Care Providers & Services,"Acuity Eyecare Holdings, LLC+(22)",One stop,SF +13.0(l),10.89cash/6.75PIK,03/2025,98,97,-,103,
388,Health Care Providers & Services,"Acuity Eyecare Holdings, LLC+One stop",One stop,SF +6.25(l),10.98,03/2025,1,1,-,1,
389,Health Care Providers & Services,"Acuity Eyecare Holdings, LLC+(5)",One stop,SF +6.25,N/A(6),03/2025,-,-,-,(3),
390,Health Care Providers & Services,"Acuity Eyecare Holdings, LLC+One stop",One stop,SF +6.0(l),10.71,03/2025,768,762,-,756,
391,Health Care Providers & Services,"Advanced Pain Management Holdings, Inc.+(7)(22)",Senior loan,P +3.75(d),11.25,07/2021,15968,4922,-,204,
392,Health Care Providers & Services,"Advanced Pain Management Holdings, Inc.+(7)(22)",Senior loan,L +8.5(a),12.88,07/2021,7120,6,-,-,
393,Health Care Providers & Services,"Advanced Pain Management Holdings, Inc.+(7)(22)",Senior loan,P +3.75(d),11.25,07/2021,1089,337,-,14,
394,Health Care Providers & Services,"Advanced Pain Management Holdings, Inc.+(7)(22)",Senior loan,P +3.75(d),11.25,07/2021,813,446,-,10,
395,Health Care Providers & Services,AVG Intermediate Holdings & AVG Subsidiary Holdings LLC+One stop,Senior loan,L +6.13(b),10.85,03/2027,4696,4652,0.2,4637,
396,Health Care Providers & Services,AVG Intermediate Holdings & AVG Subsidiary Holdings LLC+One stop,Senior loan,L +6.13(b),10.85,03/2027,3926,3875,0.2,3877,
397,Health Care Providers & Services,AVG Intermediate Holdings & AVG Subsidiary Holdings LLC+(22),Subordinated debt,L +10.5(b),15.23,03/2028,1945,1920,0.1,1945,
398,Health Care Providers & Services,AVG Intermediate Holdings & AVG Subsidiary Holdings LLC+(22),Subordinated debt,L +10.5(b),15.23,03/2028,743,736,-,743,
399,Health Care Providers & Services,AVG Intermediate Holdings & AVG Subsidiary Holdings LLC+(22),Subordinated debt,L +10.5(a)(b),15.17,03/2028,233,230,-,233,
400,Health Care Providers & Services,AVG Intermediate Holdings & AVG Subsidiary Holdings LLC+One stop,Subordinated debt,L +6.25(b),10.98,03/2027,112,109,-,110,
401,Health Care Providers & Services,AVG Intermediate Holdings & AVG Subsidiary Holdings LLC+(5),One stop,L +6.0,N/A(6),03/2027,-,(1),-,(1),
402,Health Care Providers & Services,AVG Intermediate Holdings & AVG Subsidiary Holdings LLC+One stop,One stop,L +6.25(a)(b),10.81,03/2027,43,42,-,42,
403,Health Care Providers & Services,"Community Care Partners, LLC+One stop",One stop,SF +6.0(k),10.44,06/2026,2343,2325,0.1,2296,
404,Health Care Providers & Services,"Community Care Partners, LLC+(5)",One stop,SF +6.0,N/A(6),06/2026,-,(3),-,(7),
405,Health Care Providers & Services,"CRH Healthcare Purchaser, Inc.*+Senior loan",One stop,L +4.5(b),9.23,12/2024,19502,19499,0.8,19111,
406,Health Care Providers & Services,"CRH Healthcare Purchaser, Inc.#",Senior loan,L +4.5(b),9.23,12/2024,5184,5153,0.2,5081,
407,Health Care Providers & Services,"CRH Healthcare Purchaser, Inc.#+Senior loan",Senior loan,L +4.5(b),9.23,12/2024,4100,4088,0.2,4019,
408,Health Care Providers & Services,"CRH Healthcare Purchaser, Inc.+Senior loan",Senior loan,L +4.5(b),9.23,12/2024,3512,3489,0.1,3441,
409,Health Care Providers & Services,"CRH Healthcare Purchaser, Inc.+(5)",Senior loan,L +4.5,N/A(6),12/2024,-,(1),-,(6),
410,Health Care Providers & Services,Datix Bidco Limited+(8)(9)(10),Senior loan,SN +4.5(i),7.93,04/2025,53824,59981,2.1,52209,
411,Health Care Providers & Services,Datix Bidco Limited+(8)(9)(10),Second lien,SN +7.75(i),11.18,04/2026,19099,21250,0.7,18335,
412,Health Care Providers & Services,"Emerge Intermediate, Inc.*#(22)",One stop,SF +6.5(l),10.73cash/0.50PIK,05/2024,19253,19156,0.8,19060,
413,Health Care Providers & Services,"Emerge Intermediate, Inc.+(22)",One stop,SF +6.5(l),10.73cash/0.50PIK,05/2024,1743,1734,0.1,1725,
414,Health Care Providers & Services,"Emerge Intermediate, Inc.+(22)",One stop,SF +6.5(l),10.52cash/0.50PIK,05/2024,30,28,-,28,
415,Health Care Providers & Services,Encorevet Group LLC+One stop,One stop,L +6.75(b),11.48,11/2024,982,978,-,963,
416,Health Care Providers & Services,Encorevet Group LLC+One stop,One stop,L +6.75(b),11.48,11/2024,617,614,-,605,
417,Health Care Providers & Services,Encorevet Group LLC+One stop,One stop,L +6.75(b),11.48,11/2024,306,304,-,300,
418,Health Care Providers & Services,Encorevet Group LLC+One stop,One stop,L +6.75(b),11.48,11/2024,293,291,-,287,
419,Health Care Providers & Services,Encorevet Group LLC+One stop,One stop,L +6.75(b),11.48,11/2024,265,264,-,260,
420,Health Care Providers & Services,Encorevet Group LLC+Senior loan,One stop,L +6.75(b),11.48,11/2024,244,243,-,239,
421,Health Care Providers & Services,Encorevet Group LLC+One stop,One stop,L +6.75(b),11.48,11/2024,162,161,-,159,
422,Health Care Providers & Services,Encorevet Group LLC+One stop,One stop,L +6.75(b),11.48,11/2024,114,113,-,112,
423,Health Care Providers & Services,Encorevet Group LLC+Senior loan,One stop,L +6.75(b),11.48,11/2024,109,109,-,107,
424,Health Care Providers & Services,Encorevet Group LLC+Senior loan,One stop,L +6.75(b),11.48,11/2024,68,68,-,67,
425,Health Care Providers & Services,Encorevet Group LLC+Senior loan,One stop,L +6.75(b),11.48,11/2024,57,56,-,55,
426,Health Care Providers & Services,Encorevet Group LLC+One stop,One stop,L +6.75(b),11.48,11/2024,56,55,-,54,
427,Health Care Providers & Services,Encorevet Group LLC+One stop,One stop,L +6.75(b),11.48,11/2024,32,32,-,31,
428,Health Care Providers & Services,Encorevet Group LLC+Senior loan,One stop,L +6.75(b),11.48,11/2024,10,10,-,10,
429,Health Care Providers & Services,Encorevet Group LLC+Senior loan,One stop,L +6.75(b),11.12,11/2024,27,26,-,26,
430,Health Care Providers & Services,Encorevet Group LLC+(5),One stop,L +6.75,N/A(6),11/2024,-,(1),-,-,
431,Health Care Providers & Services,"ERC Topco Holdings, LLC+One stop",One stop,L +5.5(b),10.23,11/2028,9188,9119,0.4,8821,
432,Health Care Providers & Services,"ERC Topco Holdings, LLC+One stop",One stop,P +4.5(b)(d),11.15,11/2027,93,91,-,88,
433,Health Care Providers & Services,"ERC Topco Holdings, LLC+(5)",One stop,L +5.5,N/A(6),11/2028,-,(3),-,(9),
434,Health Care Providers & Services,Eyecare Services Partners Holdings LLC+(7)(22),One stop,L +9.25(b),5.41cash/8.25PIK,05/2023,19708,19718,0.4,9854,
435,Health Care Providers & Services,Eyecare Services Partners Holdings LLC+(7)(22),One stop,L +9.25(b),5.41cash/8.25PIK,05/2023,8646,8661,0.2,4323,
436,Health Care Providers & Services,Eyecare Services Partners Holdings LLC+(7)(22),One stop,L +9.25(b),5.41cash/8.25PIK,05/2023,7571,7585,0.2,3786,
