,Industry,Company,Investment_Type,Interest_Rate,Maturity_Date,Par_Shares,Cost,Fair_Value,,
309,"Flock Financial, LLC","Flock SPV I, LLC",First Lien Secured Debt,8.19 (1M L+650),08/30/22,13067,13013,12933,(9)(17),
310,"Flock Financial, LLC","Flock SPV I, LLC",First Lien Secured Debt - Revolver,8.19 (1M L+650),08/30/22,1200,1200,1189,(9)(17)(23),
311,"Flock Financial, LLC","Flock SPV I, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,08/30/22,133,(9,(1,(8)(9)(17)(21)(23),
312,"Flock Financial, LLC","Flock SPV I, LLC",First Lien Secured Debt - Unfunded Delayed Draw,0.50 Unfunded,08/30/22,5600,(71,(57,(8)(9)(17)(21)(23),
315,Golden Bear,"Golden Bear 2016-R, LLC (4)",Structured Products and Other - Membership Interests,09/20/42,N/A,16729,11820,(3)(17),,
317,Mayfield Agency Borrower Inc.,Mayfield Agency Borrower Inc.,Second Lien Secured Debt,10.30 (1M L+850),03/02/26,5000,4942,5047,(10),
319,"Purchasing Power, LLC","Purchasing Power Funding I, LLC",First Lien Secured Debt - Revolver,6.50 (1M L+650),01/24/22,3547,3547,3548,(9)(23),
320,"Purchasing Power, LLC","Purchasing Power Funding I, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,01/24/22,5565,0,0,(9)(21)(23),
323,"Taupo River II, LLC","Taupo River II, LLC",First Lien Secured Debt,"7.35 (3M L+525, 1.00 Floor)",06/08/20,14000,13984,13983,(9)(17),
325,"Ten-X, LLC","Ten-X, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,09/29/22,4680,(231,(254,(8)(21)(23),
329,NFA Group,SSCP Spring Bidco Limited,First Lien Secured Debt,"7.06 (6M L+625, 0.50 Floor)",07/30/25,27818,33231,35931,(9)(17),
330,NFA Group,SSCP Spring Bidco Limited,First Lien Secured Debt - Unfunded Delayed Draw,1.88 Unfunded,07/30/25,2182,(31,(72,(8)(9)(17)(21)(23),
334,"AMP Solar Group, Inc.","AMP Solar Group, Inc. (4)",Common Equity/Interests - Class A Common Unit,N/A,N/A,"243,646 Shares",10000,8138,(13)(17),
336,Renew Financial LLC,"AIC SPV Holdings II, LLC (4)",Preferred Equity - Preferred Stock,N/A,N/A,"534,375 Shares",534,576,(17)(15),
337,Renew Financial LLC,"Renew Financial LLC (f/k/a Renewable Funding, LLC) (4)",Preferred Equity - Series B Preferred Stock,N/A,N/A,"1,505,868 Shares",8343,8936,(13),
338,Renew Financial LLC,"Renew Financial LLC (f/k/a Renewable Funding, LLC) (4)",Preferred Equity - Series D Preferred Stock,N/A,N/A,"436,689 Shares",5568,5034,(13),
339,Renew Financial LLC,Renew JV LLC (4),Common Equity/Interests - Membership Interests,N/A,N/A,"962,270 Shares",962,1062,(13)(17),
342,Solarplicity Group,Solarplicity UK Holdings Limited,First Lien Secured Debt,4.00,03/08/23,5562,7637,6773,(17),
343,Solarplicity Group,Solarplicity UK Holdings Limited,Preferred Equity - Preferred Stock,N/A,N/A,"4,286 Shares",5861,710,(2)(13)(17),
344,Solarplicity Group,Solarplicity UK Holdings Limited,Common Equity/Interests - Ordinary Shares,N/A,N/A,"2,825 Shares",4,0,(2)(13)(17),
349,"Glacier Oil & Gas Corp. (f/k/a Miller Energy Resources, Inc.)","Glacier Oil & Gas Corp. (f/k/a Miller Energy Resources, Inc.) (5)",First Lien Secured Debt,8.00 Cash (10.00 PIK Toggle),03/29/20,1000,1000,1000,,
350,"Glacier Oil & Gas Corp. (f/k/a Miller Energy Resources, Inc.)","Glacier Oil & Gas Corp. (f/k/a Miller Energy Resources, Inc.) (5)",Second Lien Secured Debt,10.00 PIK Toggle (8.00 Cash),03/29/21,36318,36318,26378,,
351,"Glacier Oil & Gas Corp. (f/k/a Miller Energy Resources, Inc.)","Glacier Oil & Gas Corp. (f/k/a Miller Energy Resources, Inc.) (5)",Common Equity/Interests - Common Stock,N/A,N/A,"5,000,000 Shares",30078,0,(13),
354,Pelican,"Pelican Energy, LLC (4)",Common Equity/Interests - Membership Interests,N/A,N/A,"1,444 Shares",16822,3010,(13)(16)(17),
356,Spotted Hawk,"SHD Oil & Gas, LLC (5)",First Lien Secured Debt - Tranche C Note,12.00,07/31/20,24000,24000,24720,,
357,Spotted Hawk,"SHD Oil & Gas, LLC (5)",First Lien Secured Debt - Tranche A Note,4.00,07/31/20,45457,45457,46821,,
358,Spotted Hawk,"SHD Oil & Gas, LLC (5)",First Lien Secured Debt - Tranche B Note,3.00 PIK,07/31/20,83848,44380,15562,(13)(14),
359,Spotted Hawk,"SHD Oil & Gas, LLC (5)",Common Equity/Interests - Series A Units,N/A,N/A,"7,600,000 Shares",1411,0,(13)(16),
364,Ortega National Parks,"Ortega National Parks, LLC",First Lien Secured Debt,"7.18 (3M L+525, 1.00 Floor)",10/31/25,11257,11038,11038,(9),
365,Ortega National Parks,"Ortega National Parks, LLC",First Lien Secured Debt - Revolver,9.00 (P+425),10/31/25,273,273,268,(9)(23),
366,Ortega National Parks,"Ortega National Parks, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,10/31/25,1776,(40,(36,(8)(9)(21)(23),
367,Ortega National Parks,"Ortega National Parks, LLC",First Lien Secured Debt - Unfunded Delayed Draw,1.00 Unfunded,10/31/25,6694,(65,(134,(8)(9)(21)(23),
371,Bumble Bee Foods S.À R.L.,"Bumble Bee Holdings, Inc.",First Lien Secured Debt,15.75 (P+900 Cash plus 2.00 PIK),08/15/23,16405,16199,15420,,
372,Bumble Bee Foods S.À R.L.,"Bumble Bee Holdings, Inc.",First Lien Secured Debt,"12.29 (1M L+1050, 1.00 Floor)",05/26/20,2462,2407,2388,(9),
373,Bumble Bee Foods S.À R.L.,Connors Bros Clover Leaf Seafoods Company,First Lien Secured Debt,15.75 (P+900 Cash plus 2.00 PIK),08/15/23,4648,4590,4369,,
377,"Altasciences, Inc.",9360-1367 Quebec Inc.,First Lien Secured Debt,"8.49 (3M L+625, 1.00 Floor)",06/09/23,2363,1737,1754,(9)(17),
378,"Altasciences, Inc.",9360-1367 Quebec Inc.,First Lien Secured Debt,"8.16 (3M L+625, 1.00 Floor)",06/09/23,2848,2811,2741,(9)(17),
379,"Altasciences, Inc.","Altasciences US Acquistion, Inc.",First Lien Secured Debt,"8.16 (3M L+625, 1.00 Floor)",06/09/23,5097,5031,4906,(9),
380,"Altasciences, Inc.","Altasciences US Acquistion, Inc.",First Lien Secured Debt,"8.19 (3M L+625, 1.00 Floor)",06/09/23,915,895,881,(9),
381,"Altasciences, Inc.","Altasciences US Acquistion, Inc.",First Lien Secured Debt - Revolver,"8.15 (3M L+625, 1.00 Floor)",06/09/23,392,392,377,(9)(23),
382,"Altasciences, Inc.","Altasciences US Acquistion, Inc.",First Lien Secured Debt - Revolver,"8.21 (3M L+625, 1.00 Floor)",06/09/23,570,570,549,(9)(23),
383,"Altasciences, Inc.","Altasciences US Acquistion, Inc.",First Lien Secured Debt - Unfunded Revolver,0.25 Unfunded,06/09/23,463,(18,(17,(8)(9)(11)(21)(23),
386,American Veterinary Group,AVG Intermediate Holdings LLC,First Lien Secured Debt,"9.80 (1M L+800, 1.00 Floor)",02/08/24,10675,10551,10386,(9),
387,American Veterinary Group,AVG Intermediate Holdings LLC,First Lien Secured Debt,"9.72 (1M L+800, 1.00 Floor)",02/08/24,1083,1083,1054,(9),
388,American Veterinary Group,AVG Intermediate Holdings LLC,First Lien Secured Debt - Unfunded Delayed Draw,1.00 Unfunded,02/08/24,1466,(120,(40,(8)(9)(21)(23),
391,AmeriVet,"Amerivet Partners Management, Inc.",First Lien Secured Debt,"8.55 (1M L+675, 1.00 Floor)",06/05/24,26292,25780,25756,(9),
392,AmeriVet,"Amerivet Partners Management, Inc.",First Lien Secured Debt - Revolver,9.50 (P+475),06/05/24,524,524,513,(9)(23),
393,AmeriVet,"Amerivet Partners Management, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,06/05/24,282,(15,(6,(8)(9)(21)(23),
394,AmeriVet,"Amerivet Partners Management, Inc.",First Lien Secured Debt - Unfunded Delayed Draw,0.50 Unfunded,06/05/24,7843,(101,(160,(8)(9)(21)(23),
397,Analogic,Analogic Corporation,First Lien Secured Debt,"7.80 (1M L+600, 1.00 Floor)",06/22/24,26701,26203,26434,(9),
398,Analogic,Analogic Corporation,First Lien Secured Debt - Revolver,"7.80 (1M L+600, 1.00 Floor)",06/22/23,261,261,258,(9)(23),
399,Analogic,Analogic Corporation,First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,06/22/23,2348,(45,(23,(8)(9)(21)(23),
402,Aptevo Therapeutics Inc.,Aptevo Therapeutics Inc.,First Lien Secured Debt,"9.29 (1M L+760, 0.50 Floor)",02/01/23,8571,8795,8546,(9),
404,"BioClinica Holding I, LP","BioClinica Holding I, LP",Second Lien Secured Debt,"10.06 (1M L+825, 1.00 Floor)",10/21/24,24612,24290,23012,(10),
406,CARE Fertility,Royton Bidco Limited,First Lien Secured Debt,"6.54 (3M L+575, 0.50 Floor)",05/09/25,15588,19769,20052,(9)(17),
407,CARE Fertility,Royton Bidco Limited,First Lien Secured Debt - Unfunded Delayed Draw,2.01 Unfunded,05/09/25,4412,(77,(169,(8)(9)(17)(21)(23),
410,Cerus,Cerus Corporation,First Lien Secured Debt,"7.25 (1M L+545, 1.80 Floor)",03/01/24,12000,11949,12097,(9)(17),
411,Cerus,Cerus Corporation,First Lien Secured Debt - Revolver,"5.55 (1M L+375, 1.80 Floor)",03/01/24,342,342,345,(9)(17)(23),
412,Cerus,Cerus Corporation,First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,03/01/24,158,(1,0,(9)(17)(21)(23),
413,Cerus,Cerus Corporation,First Lien Secured Debt - Unfunded Delayed Draw,0.00 Unfunded,03/01/24,9000,(38,0,(9)(17)(21)(23),
416,Dohmen Life Science Services,"LSCS Holdings, Inc",Second Lien Secured Debt,10.31 (3M L+825),03/16/26,19818,19458,19719,,
418,Emmes Corporation,"Emmes Blocker, Inc.",Common Equity/Interests - Common Stock,N/A,N/A,306 Shares,306,348,(9)(13),
419,Emmes Corporation,"The Emmes Company, LLC",First Lien Secured Debt,"7.19 (1M L+550, 1.00 Floor)",03/03/25,12153,11996,11910,(9),
420,Emmes Corporation,"The Emmes Company, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,03/03/25,2449,(32,(49,(8)(9)(21)(23),
423,"Genesis Healthcare, Inc.","Genesis Healthcare, Inc.",First Lien Secured Debt,"7.91 (1M L+600, 0.50 Floor)",03/06/23,25000,24761,24792,(9),
424,"Genesis Healthcare, Inc.","Genesis Healthcare, Inc.",First Lien Secured Debt,"12.91 (1M L+1100, 1.00 Floor)",03/06/23,9130,9130,9015,(9),
425,"Genesis Healthcare, Inc.","Genesis Healthcare, Inc.",First Lien Secured Debt - Revolver,"5.16 (1M L+325, 0.50 Floor)",02/02/20,10828,10828,10734,(9)(23),
426,"Genesis Healthcare, Inc.","Genesis Healthcare, Inc.",First Lien Secured Debt - Revolver,"7.91 (1M L+600, 0.50 Floor)",03/06/23,10993,10993,10899,(9)(23),
427,"Genesis Healthcare, Inc.","Genesis Healthcare, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,03/06/23,27963,(372,(241,(8)(9)(21)(23),
428,"Genesis Healthcare, Inc.","Genesis Healthcare, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,02/02/20,11085,(9,(95,(8)(9)(21)(23),
431,Gossamer,"GB001, Inc.",First Lien Secured Debt,"8.15 (1M L+615, 2.00 Floor)",05/01/24,6000,5962,6031,(9)(17),
432,Gossamer,"GB001, Inc.",First Lien Secured Debt - Unfunded Delayed Draw,0.00 Unfunded,05/01/24,24000,(208,0,(9)(17)(21)(23),
435,Health & Safety Institute,"HSI Halo Acquisition, Inc.",First Lien Secured Debt,"7.55 (1M L+575, 1.00 Floor)",08/31/26,23384,23162,23150,(9),
436,Health & Safety Institute,"HSI Halo Acquisition, Inc.",First Lien Secured Debt,"7.54 (1M L+575, 1.00 Floor)",08/31/26,1967,1945,1948,(9),
438,IMA Group,"IMA Group Management Company, LLC",First Lien Secured Debt,"7.56 (3M L+550, 1.00 Floor)",05/30/24,4675,4635,4582,,
439,IMA Group,"IMA Group Management Company, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,05/30/24,289,(3,(6,(8)(21)(23),
442,KureSmart,"Clearway Corporation (f/k/a NP/Clearway Holdings, Inc.)",Common Equity/Interests - Common Stock,N/A,N/A,133 Shares,133,133,(9),
443,KureSmart,"Kure Pain Holdings, Inc.",First Lien Secured Debt,"7.30 (1M L+550, 1.00 Floor)",08/27/24,22158,21848,21825,(9),
444,KureSmart,"Kure Pain Holdings, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,08/27/24,2654,(37,(40,(8)(9)(21)(23),
447,"Lanai Holdings III, Inc. (Patterson Medical)","Lanai Holdings III, Inc.",Second Lien Secured Debt,"10.43 (3M L+850, 1.00 Floor)",08/28/23,17391,17120,15217,,
449,Mannkind Corporation,Mannkind Corporation,First Lien Secured Debt,"8.75 (1M L+675, 2.00 Floor)",08/01/24,13867,13803,13797,(9),
450,Mannkind Corporation,Mannkind Corporation,First Lien Secured Debt - Unfunded Delayed Draw,0.00 Unfunded,08/01/24,12133,(56,(61,(8)(9)(21)(23),
453,"Maxor National Pharmacy Services, LLC","Maxor National Pharmacy Services, LLC",First Lien Secured Debt,"7.44 (3M L+550, 1.00 Floor)",11/22/23,24540,24145,24133,(9),
454,"Maxor National Pharmacy Services, LLC","Maxor National Pharmacy Services, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,11/22/22,1558,(23,(24,(8)(9)(21)(23),
457,Medical Guardian,"Medical Guardian, LLC",First Lien Secured Debt,"10.30 (1M L+850, 1.00 Floor)",12/31/24,34286,33601,33600,(9),
458,Medical Guardian,"Medical Guardian, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,12/31/24,5714,(114,(114,(8)(9)(21)(23),
461,Orchard,Orchard Therapeutics plc,First Lien Secured Debt,"7.69 (1M L+600, 1.00 Floor)",05/24/24,8333,8297,8306,(9)(17),
462,Orchard,Orchard Therapeutics plc,First Lien Secured Debt - Unfunded Delayed Draw,0.00 Unfunded,05/24/24,16667,(73,(55,(8)(9)(17)(21)(23),
465,Ovation Fertility,"FPG Services, LLC",First Lien Secured Debt,"7.44 (3M L+550, 1.00 Floor)",06/13/25,12568,12340,12341,(9),
466,Ovation Fertility,"FPG Services, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,06/13/24,2105,(37,(42,(8)(9)(21)(23),
468,"Partner Therapeutics, Inc","Partner Therapeutics, Inc",First Lien Secured Debt,"8.34 (1M L+665, 1.00 Floor)",01/01/23,10000,9887,9945,(9),
469,"Partner Therapeutics, Inc","Partner Therapeutics, Inc",Preferred Equity - Preferred Equity,N/A,N/A,"55,556 Shares",333,333,(9)(13),
470,"Partner Therapeutics, Inc","Partner Therapeutics, Inc",Common Equity/Interests - Warrants,N/A,N/A,"33,333 Shares",135,95,(9)(13),
473,PHS,"PHS Buyer, Inc.",First Lien Secured Debt,"7.19 (3M L+525, 1.00 Floor)",01/31/25,12902,12656,12644,(9),
474,PHS,"PHS Buyer, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,01/31/25,2000,(38,(40,(8)(9)(21)(23),
477,ProPharma,"ProPharma Group Intermediate, LLC",First Lien Secured Debt,"7.55 (1M L+575, 0.50 Floor)",07/12/23,6373,7210,7082,,
478,ProPharma,"ProPharma Group Intermediate, LLC",First Lien Secured Debt,"7.55 (1M L+575, 0.50 Floor)",07/12/23,1859,2419,2438,,
479,ProPharma,"ProPharma Group Intermediate, LLC",First Lien Secured Debt,"7.55 (1M L+575, 0.50 Floor)",07/12/23,10978,10893,10869,,
480,ProPharma,"ProPharma Group Intermediate, LLC",First Lien Secured Debt,"7.55 (1M L+575, 0.50 Floor)",01/13/20,2371,3110,3110,,
481,ProPharma,"ProPharma Group Intermediate, LLC",First Lien Secured Debt,"7.55 (1M L+575, 0.50 Floor)",01/13/20,409,408,405,,
482,ProPharma,"ProPharma Group Intermediate, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,07/12/23,1032,(8,(10,(8)(21)(23),
485,"PTC Therapeutics, Inc","PTC Therapeutics, Inc",First Lien Secured Debt,"7.84 (1M L+615, 1.00 Floor)",05/01/21,8972,8957,9062,(9)(17),
487,RHA Health Services,"Pace Health Companies, LLC",First Lien Secured Debt,"6.44 (3M L+450, 1.00 Floor)",08/02/24,499,490,489,(9),
488,RHA Health Services,"Pace Health Companies, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,08/02/24,433,(9,(9,(8)(9)(21)(23),
489,RHA Health Services,"Pace Health Companies, LLC",First Lien Secured Debt - Letter of Credit,4.50,12/10/20,68,0,(1,(8)(9)(23),
490,RHA Health Services,"Pace Health Companies, LLC",First Lien Secured Debt - Unfunded Delayed Draw,0.00 Unfunded,08/02/24,4000,(37,(80,(8)(9)(21)(23),
493,Rigel Pharmaceuticals,"Rigel Pharmaceuticals, Inc.",First Lien Secured Debt,"7.34 (1M L+565, 1.50 Floor)",09/01/24,3000,2997,2993,(9),
494,Rigel Pharmaceuticals,"Rigel Pharmaceuticals, Inc.",First Lien Secured Debt - Unfunded Delayed Draw,0.00 Unfunded,09/01/24,3000,0,0,(9)(21)(23),
497,"RiteDose Holdings I, Inc.","RiteDose Holdings I, Inc.",First Lien Secured Debt,"8.60 (3M L+650, 1.00 Floor)",09/13/23,14700,14404,14393,(9),
499,"Teladoc, Inc.","Teladoc, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,07/14/20,1306,(12,(52,(8)(17)(21)(23),
500,"Teladoc, Inc.","Teladoc, Inc.",First Lien Secured Debt - Letters of Credit,7.25,01/13/20 - 05/11/20,360,0,(14,(8)(17)(23),
503,"Wright Medical Group, Inc.","Wright Medical Group, Inc.",First Lien Secured Debt,"9.54 (1M L+785, 1.00 Floor)",12/23/21,6667,6594,6733,(9)(17),
504,"Wright Medical Group, Inc.","Wright Medical Group, Inc.",First Lien Secured Debt - Revolver,"5.94 (1M L+425, 0.75 Floor)",12/23/21,7666,7666,7724,(9)(17)(23),
505,"Wright Medical Group, Inc.","Wright Medical Group, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,12/23/21,50667,(256,0,(9)(17)(21)(23),
506,"Wright Medical Group, Inc.","Wright Medical Group, Inc.",First Lien Secured Debt - Unfunded Delayed Draw,0.00 Unfunded,12/23/21,11667,(73,0,(9)(17)(21)(23),
511,Acronis AG,Acronis AG,First Lien Secured Debt,"7.59 (1M L+585, 1.50 Floor)",12/18/24,21000,20896,20896,(9)(17),
513,American Megatrends,AMI US Holdings Inc.,First Lien Secured Debt,"7.19 (1M L+550, 1.00 Floor)",04/01/25,21927,21543,21708,(9),
514,American Megatrends,AMI US Holdings Inc.,First Lien Secured Debt - Revolver,7.19 (1M L+550),04/01/24,581,581,572,(9)(23),
515,American Megatrends,AMI US Holdings Inc.,First Lien Secured Debt - Revolver,7.30 (1M L+550),04/01/24,698,698,686,(9)(23),
516,American Megatrends,AMI US Holdings Inc.,First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,04/01/24,1628,(49,(28,(8)(9)(21)(23),
519,"Calero Holdings, Inc.","Telesoft Holdings, LLC",First Lien Secured Debt,"7.69 (3M L+575, 1.00 Floor)",12/16/25,22727,22219,22219,,
520,"Calero Holdings, Inc.","Telesoft Holdings, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,12/16/25,2273,(51,(51,(8)(21)(23),
523,ChargePoint,"ChargePoint, Inc.",First Lien Secured Debt,"8.24 (1M L+655, 1.25 Floor)",06/01/23,10500,10427,10478,(9),
525,ChyronHego Corporation,ChyronHego Corporation,First Lien Secured Debt,7.43 (P+468),03/09/20,3725,3725,3725,,
526,ChyronHego Corporation,ChyronHego Corporation,First Lien Secured Debt,7.43 (P+468),03/09/20,34579,34550,32158,(18),
529,Digital Reasoning,"Digital Reasoning Systems, Inc.",First Lien Secured Debt,"8.25 (1M L+625, 2.00 Floor)",08/01/24,3750,3717,3701,(9),
530,Digital Reasoning,"Digital Reasoning Systems, Inc.",Common Equity/Interests - Warrants,N/A,N/A,"48,596 Shares",0,53,(9)(13),
531,Digital Reasoning,"Digital Reasoning Systems, Inc.",First Lien Secured Debt - Unfunded Delayed Draw,0.00 Unfunded,08/01/24,1250,(12,(13,(8)(9)(21)(23),
534,FiscalNote,"FiscalNote, Inc.",First Lien Secured Debt,"9.80 (1M L+800, 1.00 Floor)",08/21/23,28125,27561,27352,(9),
535,FiscalNote,"FiscalNote, Inc.",First Lien Secured Debt - Revolver,"9.80 (1M L+800, 1.00 Floor)",08/21/23,3825,3825,3720,(9)(23),
536,FiscalNote,"FiscalNote, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,08/21/23,2550,(85,(70,(8)(9)(21)(23),
537,FiscalNote,"FiscalNote, Inc.",Preferred Equity - Series F Preferred Stock,N/A,N/A,"259,565 Shares",1500,1500,(9)(13),
540,GoHealth,"Norvax, LLC",First Lien Secured Debt,"8.41 (3M L+650, 1.00 Floor)",09/15/25,31739,30985,30945,(9),
541,GoHealth,"Norvax, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,09/13/24,3182,(75,(80,(8)(9)(21)(23),
544,"International Cruise & Excursion Gallery, Inc.","International Cruise & Excursion Gallery, Inc.",First Lien Secured Debt,"7.05 (1M L+525, 1.00 Floor)",06/06/25,14775,14544,14701,,
546,LabVantage Solutions,LabVantage Solutions Inc.,First Lien Secured Debt,"9.30 (1M L+750, 1.00 Floor)",12/29/20,10699,10629,10699,,
547,LabVantage Solutions,LabVantage Solutions Limited,First Lien Secured Debt,"8.50 (1M E+750, 1.00 Floor)",12/29/20,10857,11611,12187,(17),
548,LabVantage Solutions,LabVantage Solutions Limited,First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,12/29/20,3435,(17,0,(17)(21)(23),
551,Magnitude Software,New Amsterdam Software BidCo LLC,First Lien Secured Debt,"6.80 (1M L+500, 1.00 Floor)",05/01/26,6882,6757,6744,(9),
552,Magnitude Software,New Amsterdam Software BidCo LLC,First Lien Secured Debt,"5.00 (3M E+500, 1.00 Floor)",05/01/26,743,818,818,(9),
553,Magnitude Software,New Amsterdam Software BidCo LLC,First Lien Secured Debt - Unfunded Delayed Draw,0.50 Unfunded,05/01/26,2250,(20,(45,(8)(9)(21)(23),
556,MYCOM,Magnate Holding Corp.,First Lien Secured Debt,"7.94 (3M L+600, 1.00 Floor)",12/16/24,16628,16422,16244,(9)(17),
557,MYCOM,Magnate Holding Corp.,First Lien Secured Debt - Revolver,"6.92 (3M L+500, 1.00 Floor)",12/14/23,666,666,652,(9)(17)(23),
558,MYCOM,Magnate Holding Corp.,First Lien Secured Debt - Revolver,"6.94 (3M L+500, 1.00 Floor)",12/14/23,1025,1025,1003,(9)(17)(23),
559,MYCOM,Magnate Holding Corp.,First Lien Secured Debt - Revolver,"6.95 (3M L+500, 1.00 Floor)",12/14/23,999,999,978,(9)(17)(23),
560,MYCOM,Magnate Holding Corp.,First Lien Secured Debt - Unfunded Revolver,1.75 Unfunded,12/14/23,500,(39,(11,(8)(9)(17)(21)(23),
561,MYCOM,Magnate Holding Corp.,First Lien Secured Debt - Letter of Credit,5.00,04/22/20,140,0,(3,(8)(9)(17)(23),
564,"Omnitracs, LLC","Omnitracs, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,03/23/23,3750,(218,(338,(8)(21)(23),
566,Sirsi Corporation,Sirsi Corporation,First Lien Secured Debt,"6.49 (1M L+475, 1.00 Floor)",03/15/24,6939,6851,6835,(9),
568,Springbrook,"Springbrook Holding Company, LLC",First Lien Secured Debt,"7.54 (3M L+575, 1.00 Floor)",12/23/26,439,435,435,,
569,Springbrook,"Springbrook Holding Company, LLC",First Lien Secured Debt,"7.68 (3M L+575, 1.00 Floor)",12/23/26,9439,9274,9274,,
570,Springbrook,"Springbrook Holding Company, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,12/23/26,1463,(26,(26,(8)(21)(23),
571,Springbrook,"Springbrook Holding Company, LLC",First Lien Secured Debt - Unfunded Delayed Draw,0.50 Unfunded,12/23/26,3659,(36,(64,(8)(21)(23),
574,Telestream Holdings Corporation,Telestream Holdings Corporation,First Lien Secured Debt,"7.61 (2M L +645, 1.00 Floor)",03/24/22,38185,37967,37421,(18),
576,"ZPower, LLC","ZPower, LLC",First Lien Secured Debt,"8.00 (1M L+600, 2.00 Floor)",07/01/22,7149,7269,7114,(9),
577,"ZPower, LLC","ZPower, LLC",Common Equity/ Interests - Warrants,N/A,N/A,"29,630 Shares",48,0,(9)(13),
582,Garden Fresh,GFRC Holdings LLC,First Lien Secured Debt,"9.91 (1M L+800 Cash (L+800 PIK Toggle), 1.50 Floor)",02/01/22,2500,2500,2500,,
586,PGM Holdings Corporation,"Turbo Buyer, Inc.",First Lien Secured Debt,"7.69 (1M L+600, 1.00 Floor)",12/02/25,11972,11677,11677,(9),
587,PGM Holdings Corporation,"Turbo Buyer, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,12/02/25,923,(23,(23,(8)(9)(21)(23),
588,PGM Holdings Corporation,"Turbo Buyer, Inc.",First Lien Secured Debt - Unfunded Delayed Draw,1.00 Unfunded,12/02/25,2105,(26,(26,(8)(9)(21)(23),
591,PIB Group,Ivy Finco Limited,First Lien Secured Debt,5.70 (1M L+500),06/07/25,12131,15087,15670,(9)(17),
592,PIB Group,Ivy Finco Limited,First Lien Secured Debt - Unfunded Delayed Draw,1.50 Unfunded,06/07/25,5369,(137,(177,(8)(9)(17)(21)(23),
595,Relation Insurance,"AQ Sunshine, Inc.",First Lien Secured Debt,"7.42 (6M L+550, 1.00 Floor)",04/15/25,17051,16804,16736,(9),
596,Relation Insurance,"AQ Sunshine, Inc.",First Lien Secured Debt - Revolver,"7.42 (6M L+550, 1.00 Floor)",04/15/24,588,588,578,(9)(23),
597,Relation Insurance,"AQ Sunshine, Inc.",First Lien Secured Debt - Revolver,"7.46 (3M L+550, 1.00 Floor)",04/15/24,471,471,462,(9)(23),
599,Risk Strategies,"RSC Acquisition , Inc.",First Lien Secured Debt,"7.40 (3M L+550, 1.00 Floor)",11/02/26,2012,1973,1992,(17),
600,Risk Strategies,"RSC Acquisition , Inc.",First Lien Secured Debt,"7.39 (3M L+550, 1.00 Floor)",11/02/26,146,146,146,(17),
601,Risk Strategies,"RSC Acquisition , Inc.",First Lien Secured Debt,"7.41 (3M L+550, 1.00 Floor)",11/02/26,19756,19370,19558,(17),
602,Risk Strategies,"RSC Acquisition , Inc.",First Lien Secured Debt,"7.44 (3M L+550, 1.00 Floor)",11/02/26,1317,1317,1317,(17),
603,Risk Strategies,"RSC Acquisition , Inc.",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,11/02/26,906,(18,(18,(8)(17)(21)(23),
604,Risk Strategies,"RSC Acquisition , Inc.",First Lien Secured Debt - Letter of Credit,5.50,01/08/20,9,0,0,(17)(23),
605,Risk Strategies,"RSC Acquisition , Inc.",First Lien Secured Debt - Unfunded Delayed Draw,1.00 Unfunded,11/02/26,5854,(143,(59,(8)(17)(21)(23),
610,"AVAD, LLC",AVAD Canada Ltd.,First Lien Secured Debt - Revolver,"5.69 (1M L+400, 1.00 Floor)",10/02/23,652,652,642,(9)(23),
